,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
89,1981,Pennsylvania,Michael,Matthew,Jason,Christopher,David
90,1981,Rhode Island,Michael,Christopher,Matthew,David,Jason
91,1981,South Carolina,James,Michael,Christopher,William,Jason
92,1981,South Dakota,Joshua,Matthew,Michael,Christopher,Justin
93,1981,Tennessee,Michael,James,Joshua,Christopher,Jason
94,1981,Texas,Michael,Christopher,David,James,John
95,1981,Utah,Michael,Joshua,David,Christopher,Matthew
96,1981,Vermont,Michael,Christopher,Joshua,Matthew,Jason
97,1981,Virginia,Michael,Christopher,Jason,James,David
98,1981,Washington,Michael,Christopher,Joshua,Ryan,Matthew
99,1981,West Virginia,Joshua,Michael,Jason,James,Christopher
100,1981,Wisconsin,Michael,Matthew,Joshua,Jason,Ryan
101,1981,Wyoming,Joshua,Michael,Matthew,Christopher,Robert
102,1982,Alabama,Christopher,James,Michael,Joshua,Jason
103,1982,Alaska,Michael,Christopher,Daniel,David,Joshua
104,1982,Arizona,Michael,Christopher,David,Matthew,Daniel
105,1982,Arkansas,Christopher,Joshua,Michael,James,Jason
106,1982,California,Michael,Christopher,David,Daniel,Matthew
107,1982,Colorado,Michael,Christopher,Matthew,Joshua,David
108,1982,Connecticut,Michael,Christopher,Matthew,David,Jason
109,1982,Delaware,Michael,Christopher,Robert,James,John
110,1982,Dist. of Columbia,Michael,Christopher,David,James,John
111,1982,Florida,Michael,Christopher,James,Jason,David
112,1982,Georgia,Christopher,Michael,James,Joshua,William
113,1982,Hawaii,Christopher,Michael,David,Jason,Justin
114,1982,Idaho,Joshua,Michael,Christopher,Matthew,David
115,1982,Illinois,Michael,Christopher,Matthew,David,Jason
116,1982,Indiana,Michael,Joshua,Christopher,Matthew,Jason
117,1982,Iowa,Matthew,Michael,Joshua,Christopher,Ryan
118,1982,Kansas,Christopher,Michael,Matthew,Joshua,Justin
119,1982,Kentucky,Christopher,Joshua,Michael,James,Jason
120,1982,Louisiana,Christopher,Michael,Joshua,James,John
121,1982,Maine,Matthew,Christopher,Michael,Ryan,Joshua
122,1982,Maryland,Michael,Christopher,James,Jason,David
123,1982,Massachusetts,Michael,Matthew,Christopher,David,Daniel
124,1982,Michigan,Michael,Christopher,Matthew,Jason,David
125,1982,Minnesota,Matthew,Michael,Christopher,Joshua,Andrew
126,1982,Mississippi,Christopher,James,Michael,John,Joshua
127,1982,Missouri,Michael,Christopher,Matthew,Joshua,Jason
128,1982,Montana,Christopher,Michael,Matthew,Joshua,Justin
129,1982,Nebraska,Michael,Matthew,Christopher,Joshua,Ryan
130,1982,Nevada,Michael,Christopher,David,Jason,Joshua
131,1982,New Hampshire,Michael,Christopher,Matthew,Joshua,Jason
132,1982,New Jersey,Michael,Christopher,Matthew,Robert,David
133,1982,New Mexico,Michael,Christopher,Matthew,David,Jason
134,1982,New York,Michael,Christopher,Jason,David,Matthew
135,1982,North Carolina,Christopher,Michael,James,Jason,Matthew
136,1982,North Dakota,Joshua,Michael,Christopher,Matthew,Ryan
137,1982,Ohio,Michael,Matthew,Christopher,Joshua,Jason
138,1982,Oklahoma,Christopher,Michael,Joshua,James,Matthew
139,1982,Oregon,Christopher,Michael,Matthew,Joshua,Ryan
140,1982,Pennsylvania,Michael,Matthew,Christopher,Jason,David
141,1982,Rhode Island,Michael,Christopher,Matthew,Jason,David
142,1982,South Carolina,Christopher,Michael,James,William,John
143,1982,South Dakota,Matthew,Joshua,Christopher,Michael,Jason
144,1982,Tennessee,Christopher,James,Joshua,Michael,Jason
145,1982,Texas,Christopher,Michael,David,James,John
146,1982,Utah,Michael,Christopher,Joshua,Matthew,David
147,1982,Vermont,Christopher,Michael,Matthew,Jason,Joshua
148,1982,Virginia,Christopher,Michael,James,Matthew,Jason
149,1982,Washington,Michael,Christopher,Matthew,Ryan,Joshua
150,1982,West Virginia,Joshua,Michael,Christopher,Jason,James
151,1982,Wisconsin,Michael,Matthew,Joshua,Christopher,Jason
152,1982,Wyoming,Michael,Christopher,Joshua,Matthew,James
153,1983,Alabama,Christopher,Michael,James,Joshua,Matthew
154,1983,Alaska,Christopher,Michael,Matthew,Joshua,David
155,1983,Arizona,Michael,Christopher,Matthew,Daniel,David
156,1983,Arkansas,Christopher,Joshua,Michael,Matthew,James
157,1983,California,Michael,Christopher,David,Daniel,Matthew
158,1983,Colorado,Michael,Christopher,Matthew,Joshua,Daniel
159,1983,Connecticut,Michael,Christopher,Matthew,David,Daniel
160,1983,Delaware,Michael,Christopher,Matthew,Robert,David
161,1983,Dist. of Columbia,Michael,Christopher,David,Matthew,James
162,1983,Florida,Michael,Christopher,James,Matthew,David
163,1983,Georgia,Christopher,Michael,James,William,Matthew
164,1983,Hawaii,Christopher,Michael,Justin,Jason,Matthew
165,1983,Idaho,Michael,Matthew,Christopher,Joshua,Ryan
166,1983,Illinois,Michael,Matthew,Christopher,David,Daniel
167,1983,Indiana,Michael,Matthew,Joshua,Christopher,Ryan
168,1983,Iowa,Matthew,Michael,Joshua,Christopher,Ryan
169,1983,Kansas,Christopher,Matthew,Michael,Joshua,Ryan
170,1983,Kentucky,Christopher,Joshua,Michael,James,Matthew
171,1983,Louisiana,Christopher,Michael,Brandon,Joshua,James
172,1983,Maine,Matthew,Christopher,Michael,Joshua,Ryan
173,1983,Maryland,Michael,Christopher,Matthew,James,David
174,1983,Massachusetts,Michael,Matthew,Christopher,Daniel,David
175,1983,Michigan,Michael,Matthew,Christopher,David,Jason
176,1983,Minnesota,Matthew,Michael,Andrew,Christopher,Daniel
177,1983,Mississippi,Christopher,James,Michael,William,John
178,1983,Missouri,Michael,Christopher,Matthew,Joshua,James
179,1983,Montana,Michael,Matthew,Christopher,Joshua,Ryan
180,1983,Nebraska,Matthew,Michael,Christopher,Joshua,Adam
181,1983,Nevada,Michael,Christopher,Matthew,Robert,Joshua
182,1983,New Hampshire,Christopher,Michael,Matthew,Joshua,Ryan
183,1983,New Jersey,Michael,Christopher,Matthew,Joseph,Robert
184,1983,New Mexico,Christopher,Michael,Matthew,Daniel,David
185,1983,New York,Michael,Christopher,Matthew,Daniel,David
186,1983,North Carolina,Christopher,Michael,James,Matthew,Joshua
187,1983,North Dakota,Michael,Matthew,Christopher,Joshua,Ryan
188,1983,Ohio,Michael,Matthew,Christopher,Joshua,David
189,1983,Oklahoma,Christopher,Michael,Matthew,Joshua,James
190,1983,Oregon,Michael,Christopher,Matthew,Joshua,David
191,1983,Pennsylvania,Michael,Matthew,Christopher,David,Jason
192,1983,Rhode Island,Michael,Matthew,Christopher,David,Jason
193,1983,South Carolina,Christopher,James,Michael,William,John
194,1983,South Dakota,Matthew,Christopher,Michael,Joshua,Ryan
195,1983,Tennessee,Christopher,Michael,James,Joshua,Matthew
196,1983,Texas,Christopher,Michael,David,James,Matthew
197,1983,Utah,Michael,Christopher,Matthew,David,Joshua
198,1983,Vermont,Christopher,Matthew,Michael,Joshua,Justin
199,1983,Virginia,Christopher,Michael,Matthew,James,David
200,1983,Washington,Michael,Christopher,Matthew,Ryan,Joshua
201,1983,West Virginia,Christopher,Joshua,Michael,Matthew,Jason
202,1983,Wisconsin,Matthew,Michael,Christopher,Andrew,Joshua
203,1983,Wyoming,Michael,Christopher,Matthew,Joshua,Ryan
204,1984,Alabama,Christopher,Michael,James,Joshua,Matthew
205,1984,Alaska,Christopher,Michael,Matthew,Joshua,David
206,1984,Arizona,Michael,Christopher,Matthew,Daniel,David
207,1984,Arkansas,Christopher,Joshua,Michael,James,Matthew
208,1984,California,Michael,Christopher,David,Daniel,Matthew
209,1984,Colorado,Michael,Christopher,Matthew,Joshua,David
210,1984,Connecticut,Michael,Christopher,Matthew,Daniel,David
211,1984,Delaware,Michael,Matthew,Christopher,John,David
212,1984,Dist. of Columbia,Michael,Christopher,James,David,Matthew
213,1984,Florida,Michael,Christopher,Matthew,James,David
214,1984,Georgia,Christopher,Michael,James,Joshua,Matthew
215,1984,Hawaii,Christopher,Michael,Joshua,Matthew,Justin
216,1984,Idaho,Michael,Matthew,Joshua,Christopher,Ryan
217,1984,Illinois,Michael,Matthew,Christopher,Daniel,David
218,1984,Indiana,Matthew,Michael,Joshua,Christopher,Ryan
219,1984,Iowa,Matthew,Michael,Joshua,Christopher,Ryan
220,1984,Kansas,Christopher,Michael,Matthew,Joshua,Ryan
221,1984,Kentucky,Christopher,Joshua,James,Michael,Matthew
222,1984,Louisiana,Christopher,Michael,Joshua,Brandon,Matthew
223,1984,Maine,Christopher,Matthew,Michael,Joshua,Ryan
224,1984,Maryland,Michael,Christopher,Matthew,David,James
225,1984,Massachusetts,Michael,Christopher,Matthew,Daniel,David
226,1984,Michigan,Michael,Christopher,Matthew,David,Ryan
227,1984,Minnesota,Matthew,Michael,Daniel,Ryan,Christopher
228,1984,Mississippi,Christopher,James,Michael,Joshua,William
229,1984,Missouri,Michael,Christopher,Matthew,Joshua,James
230,1984,Montana,Michael,Matthew,Christopher,Joshua,Daniel
231,1984,Nebraska,Matthew,Michael,Christopher,Joshua,Andrew
232,1984,Nevada,Christopher,Michael,Matthew,Joshua,Jason
233,1984,New Hampshire,Michael,Christopher,Matthew,Ryan,Joshua
234,1984,New Jersey,Michael,Christopher,Matthew,Daniel,Joseph
235,1984,New Mexico,Christopher,Michael,Joshua,Matthew,Daniel
236,1984,New York,Michael,Christopher,Matthew,Daniel,Joseph
237,1984,North Carolina,Christopher,Michael,Joshua,Matthew,James
238,1984,North Dakota,Michael,Matthew,Christopher,Joshua,Ryan
239,1984,Ohio,Michael,Matthew,Christopher,Joshua,David
240,1984,Oklahoma,Christopher,Michael,Joshua,Matthew,James
241,1984,Oregon,Michael,Christopher,Matthew,Joshua,Ryan
242,1984,Pennsylvania,Michael,Matthew,Christopher,David,Joshua
243,1984,Rhode Island,Michael,Matthew,Christopher,David,John
244,1984,South Carolina,Christopher,Michael,James,Joshua,William
245,1984,South Dakota,Matthew,Joshua,Michael,Christopher,Adam
246,1984,Tennessee,Christopher,Joshua,James,Michael,Matthew
247,1984,Texas,Christopher,Michael,David,Matthew,Joshua
248,1984,Utah,Michael,Matthew,Christopher,Joshua,David
249,1984,Vermont,Christopher,Matthew,Joshua,Michael,Ryan
250,1984,Virginia,Christopher,Michael,Matthew,James,David
251,1984,Washington,Michael,Christopher,Matthew,Joshua,Ryan
252,1984,West Virginia,Joshua,Christopher,Michael,Matthew,James
253,1984,Wisconsin,Michael,Matthew,Joshua,Adam,Ryan
254,1984,Wyoming,Michael,Matthew,Christopher,Joshua,Ryan
255,1985,Alabama,Christopher,Joshua,Michael,James,Brandon
256,1985,Alaska,Michael,Christopher,Joshua,Matthew,Daniel
257,1985,Arizona,Michael,Christopher,Daniel,Matthew,David
258,1985,Arkansas,Christopher,Joshua,Michael,James,Brandon
259,1985,California,Michael,Christopher,Daniel,David,Matthew
260,1985,Colorado,Michael,Christopher,Matthew,Joshua,Daniel
261,1985,Connecticut,Michael,Christopher,Matthew,Daniel,David
262,1985,Delaware,Michael,Matthew,Christopher,James,David
263,1985,Dist. of Columbia,Michael,Christopher,James,Matthew,David
264,1985,Florida,Michael,Christopher,Joshua,James,Daniel
265,1985,Georgia,Christopher,Michael,Joshua,James,Brandon
266,1985,Hawaii,Christopher,Michael,Joshua,Justin,Matthew
267,1985,Idaho,Michael,Joshua,Christopher,Matthew,Daniel
268,1985,Illinois,Michael,Christopher,Matthew,Daniel,David
269,1985,Indiana,Joshua,Michael,Matthew,Christopher,Ryan
270,1985,Iowa,Matthew,Michael,Joshua,Ryan,Christopher
271,1985,Kansas,Christopher,Matthew,Michael,Joshua,Andrew
272,1985,Kentucky,Joshua,Christopher,James,Michael,Brandon
273,1985,Louisiana,Christopher,Joshua,Michael,Brandon,James
274,1985,Maine,Christopher,Joshua,Michael,Matthew,Ryan
275,1985,Maryland,Michael,Christopher,Matthew,David,James
276,1985,Massachusetts,Michael,Matthew,Christopher,Daniel,David
277,1985,Michigan,Michael,Christopher,Matthew,Joshua,David
278,1985,Minnesota,Matthew,Michael,Andrew,Daniel,Joshua
279,1985,Mississippi,Christopher,James,Michael,Joshua,William
280,1985,Missouri,Michael,Christopher,Matthew,Joshua,James
281,1985,Montana,Michael,Matthew,Joshua,Christopher,Ryan
282,1985,Nebraska,Matthew,Michael,Andrew,Joshua,Christopher
283,1985,Nevada,Michael,Christopher,David,Joshua,Daniel
284,1985,New Hampshire,Michael,Matthew,Christopher,Joshua,Ryan
285,1985,New Jersey,Michael,Christopher,Matthew,Daniel,Joseph
286,1985,New Mexico,Christopher,Michael,Matthew,Daniel,David
287,1985,New York,Michael,Christopher,Matthew,Daniel,Joseph
288,1985,North Carolina,Christopher,Joshua,Michael,James,Matthew
289,1985,North Dakota,Joshua,Matthew,Michael,Christopher,Tyler
290,1985,Ohio,Michael,Matthew,Christopher,Joshua,David
291,1985,Oklahoma,Christopher,Michael,Joshua,Matthew,James
292,1985,Oregon,Christopher,Michael,Matthew,Joshua,Andrew
293,1985,Pennsylvania,Michael,Matthew,Christopher,Daniel,David
294,1985,Rhode Island,Michael,Christopher,Matthew,Joseph,David
295,1985,South Carolina,Christopher,Michael,James,Joshua,Brandon
296,1985,South Dakota,Christopher,Michael,Matthew,Joshua,Andrew
297,1985,Tennessee,Christopher,Joshua,James,Michael,Matthew
298,1985,Texas,Christopher,Michael,Joshua,David,James
299,1985,Utah,Michael,Christopher,Joshua,Matthew,Daniel
300,1985,Vermont,Matthew,Michael,Christopher,Ryan,Daniel
301,1985,Virginia,Christopher,Michael,Matthew,Joshua,James
302,1985,Washington,Christopher,Michael,Joshua,Matthew,Ryan
303,1985,West Virginia,Joshua,Christopher,Michael,James,Matthew
304,1985,Wisconsin,Michael,Matthew,Andrew,Joshua,Ryan
305,1985,Wyoming,Christopher,Michael,Joshua,Matthew,Andrew
306,1986,Alabama,Christopher,James,Michael,Joshua,Brandon
307,1986,Alaska,Michael,Christopher,Matthew,Joshua,Ryan
308,1986,Arizona,Michael,Christopher,Matthew,Daniel,David
309,1986,Arkansas,Christopher,Joshua,Michael,Matthew,James
310,1986,California,Michael,Christopher,Daniel,David,Matthew
311,1986,Colorado,Michael,Christopher,Matthew,Joshua,David
312,1986,Connecticut,Michael,Christopher,Matthew,Daniel,David
313,1986,Delaware,Michael,Christopher,Matthew,Andrew,John
314,1986,Dist. of Columbia,Michael,Christopher,David,James,Daniel
315,1986,Florida,Michael,Christopher,Matthew,Joshua,David
316,1986,Georgia,Christopher,Michael,James,Joshua,Matthew
317,1986,Hawaii,Michael,Christopher,Ryan,Matthew,Joshua
318,1986,Idaho,Michael,Matthew,Christopher,Joshua,Daniel
319,1986,Illinois,Michael,Matthew,Christopher,Daniel,David
320,1986,Indiana,Michael,Matthew,Christopher,Joshua,Andrew
321,1986,Iowa,Matthew,Michael,Joshua,Andrew,Ryan
322,1986,Kansas,Michael,Matthew,Christopher,Joshua,Andrew
323,1986,Kentucky,Christopher,Joshua,Michael,James,Matthew
324,1986,Louisiana,Christopher,Michael,Joshua,Brandon,Matthew
325,1986,Maine,Matthew,Michael,Christopher,Joshua,Ryan
326,1986,Maryland,Michael,Christopher,Matthew,David,Robert
327,1986,Massachusetts,Michael,Christopher,Matthew,Daniel,David
328,1986,Michigan,Michael,Matthew,Christopher,Andrew,David
329,1986,Minnesota,Matthew,Michael,Andrew,Christopher,Ryan
330,1986,Mississippi,Christopher,James,Michael,William,Joshua
331,1986,Missouri,Christopher,Michael,Matthew,Joshua,Andrew
332,1986,Montana,Michael,Matthew,Christopher,Joshua,Andrew
333,1986,Nebraska,Matthew,Michael,Andrew,Christopher,Joshua
334,1986,Nevada,Michael,Christopher,Daniel,Joshua,Matthew
335,1986,New Hampshire,Michael,Matthew,Christopher,Ryan,Joshua
336,1986,New Jersey,Michael,Christopher,Matthew,Daniel,Joseph
337,1986,New Mexico,Christopher,Michael,Joshua,Matthew,Daniel
338,1986,New York,Michael,Christopher,Matthew,Daniel,Joseph
339,1986,North Carolina,Christopher,Michael,Joshua,Matthew,Brandon
340,1986,North Dakota,Michael,Christopher,Matthew,Joshua,Andrew
341,1986,Ohio,Michael,Matthew,Christopher,Joshua,Andrew
342,1986,Oklahoma,Christopher,Michael,Joshua,Matthew,James
343,1986,Oregon,Michael,Christopher,Matthew,Andrew,Joshua
344,1986,Pennsylvania,Michael,Matthew,Christopher,David,Daniel
345,1986,Rhode Island,Michael,Christopher,Matthew,David,Joseph
346,1986,South Carolina,Christopher,Michael,James,William,Brandon
347,1986,South Dakota,Michael,Matthew,Christopher,Tyler,Ryan
348,1986,Tennessee,Christopher,Joshua,Michael,James,Matthew
349,1986,Texas,Christopher,Michael,David,Matthew,Joshua
350,1986,Utah,Michael,Christopher,Matthew,Joshua,David
351,1986,Vermont,Matthew,Michael,Christopher,Joshua,Daniel
352,1986,Virginia,Christopher,Michael,James,Matthew,Joshua
353,1986,Washington,Michael,Christopher,Matthew,Joshua,Andrew
354,1986,West Virginia,Joshua,Christopher,Michael,Matthew,James
355,1986,Wisconsin,Michael,Matthew,Andrew,Ryan,Joshua
356,1986,Wyoming,Christopher,Michael,Matthew,Joshua,Andrew
357,1987,Alabama,Christopher,Joshua,James,Justin,Michael
358,1987,Alaska,Christopher,Michael,Matthew,Ryan,Joshua
359,1987,Arizona,Michael,Christopher,Matthew,Daniel,David
360,1987,Arkansas,Christopher,Joshua,Michael,James,Matthew
361,1987,California,Michael,Christopher,Daniel,David,Matthew
362,1987,Colorado,Michael,Christopher,Matthew,Joshua,Andrew
363,1987,Connecticut,Michael,Christopher,Matthew,Daniel,David
364,1987,Delaware,Michael,Christopher,Matthew,David,James
365,1987,Dist. of Columbia,Michael,Christopher,David,James,John
366,1987,Florida,Michael,Christopher,Joshua,Matthew,David
367,1987,Georgia,Christopher,Michael,Joshua,James,Matthew
368,1987,Hawaii,Christopher,Michael,Matthew,Joshua,Justin
369,1987,Idaho,Michael,Christopher,Matthew,Andrew,Joshua
370,1987,Illinois,Michael,Matthew,Christopher,Daniel,Andrew
371,1987,Indiana,Michael,Matthew,Joshua,Christopher,Andrew
372,1987,Iowa,Michael,Matthew,Andrew,Joshua,Christopher
373,1987,Kansas,Christopher,Matthew,Michael,Joshua,Andrew
374,1987,Kentucky,Joshua,Christopher,Michael,James,Justin
375,1987,Louisiana,Christopher,Joshua,Michael,Brandon,Matthew
376,1987,Maine,Joshua,Michael,Matthew,Christopher,Ryan
377,1987,Maryland,Michael,Christopher,Matthew,David,James
378,1987,Massachusetts,Michael,Matthew,Christopher,Daniel,David
379,1987,Michigan,Michael,Matthew,Christopher,Andrew,Joshua
380,1987,Minnesota,Michael,Andrew,Matthew,Daniel,Nicholas
381,1987,Mississippi,Christopher,James,Michael,Justin,Joshua
382,1987,Missouri,Michael,Christopher,Matthew,Joshua,Andrew
383,1987,Montana,Michael,Christopher,Matthew,Andrew,Joshua
384,1987,Nebraska,Andrew,Matthew,Michael,Joshua,Christopher
385,1987,Nevada,Michael,Christopher,Matthew,Joshua,Robert
386,1987,New Hampshire,Christopher,Michael,Matthew,Joshua,Andrew
387,1987,New Jersey,Michael,Christopher,Matthew,Daniel,Joseph
388,1987,New Mexico,Michael,Christopher,Joshua,Matthew,David
389,1987,New York,Michael,Christopher,Matthew,Daniel,Joseph
390,1987,North Carolina,Christopher,Joshua,Michael,Matthew,James
391,1987,North Dakota,Matthew,Michael,Andrew,Joshua,Christopher
392,1987,Ohio,Michael,Matthew,Christopher,Joshua,Andrew
393,1987,Oklahoma,Michael,Christopher,Joshua,Matthew,Justin
394,1987,Oregon,Michael,Christopher,Andrew,Matthew,Joshua
395,1987,Pennsylvania,Michael,Matthew,Christopher,Andrew,David
396,1987,Rhode Island,Michael,Matthew,Christopher,Andrew,David
397,1987,South Carolina,Christopher,Michael,James,Joshua,William
398,1987,South Dakota,Matthew,Joshua,Tyler,Michael,Ryan
399,1987,Tennessee,Christopher,Joshua,Michael,Matthew,James
400,1987,Texas,Christopher,Michael,Joshua,David,Matthew
401,1987,Utah,Michael,Matthew,Joshua,Christopher,Andrew
402,1987,Vermont,Christopher,Matthew,Michael,Joshua,Ryan
403,1987,Virginia,Christopher,Michael,Matthew,Joshua,James
404,1987,Washington,Michael,Christopher,Matthew,Andrew,Joshua
405,1987,West Virginia,Joshua,Christopher,Justin,Michael,Matthew
406,1987,Wisconsin,Michael,Andrew,Matthew,Joshua,Ryan
407,1987,Wyoming,Michael,Matthew,Joshua,Christopher,James
408,1988,Alabama,Justin,Christopher,Joshua,Michael,James
409,1988,Alaska,Michael,Christopher,James,Joshua,David
410,1988,Arizona,Michael,Christopher,Matthew,Joshua,Daniel
411,1988,Arkansas,Christopher,Joshua,Justin,Michael,James
412,1988,California,Michael,Christopher,Daniel,David,Matthew
413,1988,Colorado,Michael,Christopher,Matthew,Joshua,Andrew
414,1988,Connecticut,Michael,Christopher,Matthew,Daniel,David
415,1988,Delaware,Michael,Matthew,Christopher,John,Joshua
416,1988,Dist. of Columbia,Michael,Christopher,James,David,Daniel
417,1988,Florida,Michael,Christopher,Joshua,Matthew,David
418,1988,Georgia,Christopher,Joshua,Michael,Matthew,James
419,1988,Hawaii,Michael,Joshua,Christopher,Matthew,Justin
420,1988,Idaho,Michael,Joshua,Matthew,Andrew,Jacob
421,1988,Illinois,Michael,Matthew,Christopher,Daniel,Andrew
422,1988,Indiana,Michael,Joshua,Christopher,Matthew,Andrew
423,1988,Iowa,Matthew,Andrew,Michael,Joshua,Nicholas
424,1988,Kansas,Joshua,Michael,Matthew,Andrew,Christopher
425,1988,Kentucky,Joshua,Justin,Christopher,Michael,James
426,1988,Louisiana,Christopher,Joshua,Michael,Justin,Brandon
427,1988,Maine,Joshua,Matthew,Michael,Christopher,Justin
428,1988,Maryland,Michael,Christopher,Matthew,James,Joshua
429,1988,Massachusetts,Michael,Matthew,Christopher,Daniel,Andrew
430,1988,Michigan,Michael,Matthew,Christopher,Joshua,Andrew
431,1988,Minnesota,Michael,Matthew,Andrew,Joshua,Daniel
432,1988,Mississippi,Christopher,Justin,James,Joshua,Michael
433,1988,Missouri,Michael,Christopher,Joshua,Matthew,Andrew
434,1988,Montana,Michael,Matthew,Joshua,Tyler,Andrew
435,1988,Nebraska,Matthew,Andrew,Michael,Joshua,Christopher
