,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Gender
1113,2001,Tennessee,Hannah,Madison,Emily,Sarah,Alexis,girl
1114,2001,Texas,Emily,Madison,Ashley,Alexis,Alyssa,girl
1115,2001,Utah,Emily,Madison,Emma,Hannah,Alexis,girl
1116,2001,Vermont,Emily,Hannah,Olivia,Emma,Madison,girl
1117,2001,Virginia,Emily,Hannah,Madison,Sarah,Kayla,girl
1118,2001,Washington,Emily,Madison,Hannah,Emma,Grace,girl
1119,2001,West Virginia,Madison,Hannah,Emily,Alexis,Abigail,girl
1120,2001,Wisconsin,Emily,Hannah,Emma,Olivia,Elizabeth,girl
1121,2001,Wyoming,Madison,Taylor,Alexis,Emily,Megan,girl
1122,2002,Alabama,Madison,Hannah,Anna,Emily,Alexis,girl
1123,2002,Alaska,Madison,Elizabeth,Emily,Emma,Ashley,girl
1124,2002,Arizona,Emily,Ashley,Alexis,Samantha,Madison,girl
1125,2002,Arkansas,Madison,Hannah,Emily,Sarah,Abigail,girl
1126,2002,California,Emily,Ashley,Samantha,Jessica,Jennifer,girl
1127,2002,Colorado,Madison,Emily,Emma,Ashley,Isabella,girl
1128,2002,Connecticut,Emily,Olivia,Emma,Samantha,Julia,girl
1129,2002,Delaware,Emily,Madison,Hannah,Olivia,Alexis,girl
1130,2002,Dist. of Columbia,Kayla,Sarah,Taylor,Elizabeth,Olivia,girl
1131,2002,Florida,Emily,Madison,Ashley,Hannah,Isabella,girl
1132,2002,Georgia,Madison,Emily,Hannah,Alexis,Sarah,girl
1133,2002,Hawaii,Kayla,Taylor,Emma,Jasmine,Madison,girl
1134,2002,Idaho,Madison,Emily,Emma,Hannah,Abigail,girl
1135,2002,Illinois,Emily,Emma,Olivia,Madison,Hannah,girl
1136,2002,Indiana,Madison,Emily,Emma,Hannah,Abigail,girl
1137,2002,Iowa,Emma,Madison,Emily,Hannah,Abigail,girl
1138,2002,Kansas,Emily,Madison,Emma,Abigail,Hannah,girl
1139,2002,Kentucky,Madison,Hannah,Emily,Alexis,Emma,girl
1140,2002,Louisiana,Madison,Emily,Hannah,Alexis,Taylor,girl
1141,2002,Maine,Emily,Hannah,Madison,Abigail,Emma,girl
1142,2002,Maryland,Madison,Emily,Kayla,Sarah,Hannah,girl
1143,2002,Massachusetts,Emily,Olivia,Emma,Sarah,Abigail,girl
1144,2002,Michigan,Madison,Emily,Emma,Hannah,Olivia,girl
1145,2002,Minnesota,Emma,Grace,Emily,Olivia,Abigail,girl
1146,2002,Mississippi,Madison,Hannah,Anna,Alexis,Emily,girl
1147,2002,Missouri,Madison,Hannah,Emily,Emma,Abigail,girl
1148,2002,Montana,Madison,Emily,Hannah,Emma,Abigail,girl
1149,2002,Nebraska,Emma,Madison,Emily,Hannah,Grace,girl
1150,2002,Nevada,Emily,Madison,Ashley,Alexis,Samantha,girl
1151,2002,New Hampshire,Emily,Madison,Emma,Olivia,Abigail,girl
1152,2002,New Jersey,Emily,Samantha,Ashley,Sarah,Kayla,girl
1153,2002,New Mexico,Alexis,Alyssa,Ashley,Brianna,Emily,girl
1154,2002,New York,Emily,Samantha,Ashley,Sarah,Brianna,girl
1155,2002,North Carolina,Madison,Hannah,Emily,Sarah,Emma,girl
1156,2002,North Dakota,Madison,Hannah,Emily,Grace,Emma,girl
1157,2002,Ohio,Madison,Hannah,Emily,Alexis,Emma,girl
1158,2002,Oklahoma,Madison,Emily,Hannah,Alexis,Abigail,girl
1159,2002,Oregon,Emily,Madison,Emma,Hannah,Elizabeth,girl
1160,2002,Pennsylvania,Emily,Madison,Hannah,Sarah,Abigail,girl
1161,2002,Rhode Island,Madison,Emily,Emma,Isabella,Ashley,girl
1162,2002,South Carolina,Madison,Hannah,Emily,Elizabeth,Abigail,girl
1163,2002,South Dakota,Hannah,Emily,Grace,Abigail,Emma,girl
1164,2002,Tennessee,Madison,Hannah,Emily,Emma,Sarah,girl
1165,2002,Texas,Emily,Madison,Ashley,Alyssa,Alexis,girl
1166,2002,Utah,Emily,Emma,Abigail,Madison,Hannah,girl
1167,2002,Vermont,Emma,Hannah,Madison,Emily,Abigail,girl
1168,2002,Virginia,Madison,Emily,Hannah,Sarah,Abigail,girl
1169,2002,Washington,Emily,Emma,Hannah,Madison,Olivia,girl
1170,2002,West Virginia,Madison,Hannah,Emily,Alexis,Abigail,girl
1171,2002,Wisconsin,Emily,Emma,Olivia,Hannah,Abigail,girl
1172,2002,Wyoming,Madison,Hannah,Elizabeth,Taylor,Emily,girl
1173,2003,Alabama,Madison,Emma,Emily,Hannah,Anna,girl
1174,2003,Alaska,Hannah,Emma,Emily,Madison,Hailey,girl
1175,2003,Arizona,Emily,Emma,Ashley,Alexis,Alyssa,girl
1176,2003,Arkansas,Madison,Emily,Hannah,Emma,Alexis,girl
1177,2003,California,Emily,Ashley,Samantha,Isabella,Alyssa,girl
1178,2003,Colorado,Emily,Emma,Madison,Hannah,Isabella,girl
1179,2003,Connecticut,Emma,Emily,Olivia,Madison,Julia,girl
1180,2003,Delaware,Emily,Madison,Emma,Hannah,Abigail,girl
1181,2003,Dist. of Columbia,Kayla,Emily,Katherine,Elizabeth,Sophia,girl
1182,2003,Florida,Emily,Isabella,Madison,Emma,Hannah,girl
1183,2003,Georgia,Emily,Madison,Emma,Hannah,Sarah,girl
1184,2003,Hawaii,Emma,Alyssa,Kayla,Taylor,Mia,girl
1185,2003,Idaho,Emma,Hannah,Emily,Madison,Abigail,girl
1186,2003,Illinois,Emily,Emma,Olivia,Abigail,Grace,girl
1187,2003,Indiana,Emma,Madison,Emily,Hannah,Olivia,girl
1188,2003,Iowa,Emma,Emily,Madison,Olivia,Grace,girl
1189,2003,Kansas,Emma,Madison,Emily,Hannah,Abigail,girl
1190,2003,Kentucky,Emily,Madison,Hannah,Emma,Abigail,girl
1191,2003,Louisiana,Madison,Emily,Emma,Hannah,Alexis,girl
1192,2003,Maine,Emma,Emily,Abigail,Hannah,Madison,girl
1193,2003,Maryland,Emily,Madison,Emma,Kayla,Hannah,girl
1194,2003,Massachusetts,Emily,Emma,Olivia,Abigail,Isabella,girl
1195,2003,Michigan,Emma,Madison,Emily,Olivia,Hannah,girl
1196,2003,Minnesota,Emma,Grace,Emily,Olivia,Abigail,girl
1197,2003,Mississippi,Madison,Hannah,Anna,Emma,Alexis,girl
1198,2003,Missouri,Emma,Emily,Madison,Hannah,Abigail,girl
1199,2003,Montana,Emma,Hannah,Madison,Hailey,Emily,girl
1200,2003,Nebraska,Emma,Emily,Olivia,Grace,Madison,girl
1201,2003,Nevada,Emily,Emma,Ashley,Madison,Alexis,girl
1202,2003,New Hampshire,Emma,Emily,Olivia,Abigail,Madison,girl
1203,2003,New Jersey,Emily,Isabella,Olivia,Emma,Samantha,girl
1204,2003,New Mexico,Alexis,Alyssa,Emily,Ashley,Madison,girl
1205,2003,New York,Emily,Emma,Olivia,Isabella,Samantha,girl
1206,2003,North Carolina,Madison,Emma,Emily,Hannah,Abigail,girl
1207,2003,North Dakota,Emma,Madison,Hannah,Emily,Alexis,girl
1208,2003,Ohio,Emma,Madison,Emily,Olivia,Hannah,girl
1209,2003,Oklahoma,Emily,Madison,Emma,Hannah,Abigail,girl
1210,2003,Oregon,Emma,Emily,Hannah,Madison,Olivia,girl
1211,2003,Pennsylvania,Emily,Emma,Madison,Olivia,Hannah,girl
1212,2003,Rhode Island,Emily,Madison,Emma,Olivia,Isabella,girl
1213,2003,South Carolina,Madison,Emily,Hannah,Olivia,Emma,girl
1214,2003,South Dakota,Emma,Hannah,Emily,Olivia,Madison,girl
1215,2003,Tennessee,Madison,Emma,Hannah,Emily,Abigail,girl
1216,2003,Texas,Emily,Ashley,Madison,Emma,Alyssa,girl
1217,2003,Utah,Emma,Madison,Emily,Hannah,Abigail,girl
1218,2003,Vermont,Emma,Emily,Abigail,Madison,Hannah,girl
1219,2003,Virginia,Emily,Emma,Madison,Hannah,Abigail,girl
1220,2003,Washington,Emma,Emily,Olivia,Madison,Hannah,girl
1221,2003,West Virginia,Madison,Emily,Hannah,Emma,Alexis,girl
1222,2003,Wisconsin,Emma,Emily,Olivia,Grace,Hannah,girl
1223,2003,Wyoming,Emma,Madison,Hannah,Alexis,Emily,girl
1224,2004,Alabama,Emma,Madison,Emily,Hannah,Anna,girl
1225,2004,Alaska,Emma,Madison,Hannah,Grace,Emily,girl
1226,2004,Arizona,Emily,Isabella,Emma,Ashley,Madison,girl
1227,2004,Arkansas,Madison,Emily,Emma,Hannah,Olivia,girl
1228,2004,California,Emily,Ashley,Samantha,Isabella,Natalie,girl
1229,2004,Colorado,Emma,Emily,Isabella,Madison,Abigail,girl
1230,2004,Connecticut,Emily,Olivia,Emma,Isabella,Samantha,girl
1231,2004,Delaware,Madison,Olivia,Emily,Alexis,Elizabeth,girl
1232,2004,Dist. of Columbia,Sophia,Katherine,Kayla,Elizabeth,Emma,girl
1233,2004,Florida,Emily,Isabella,Madison,Emma,Ashley,girl
1234,2004,Georgia,Emily,Madison,Emma,Hannah,Sarah,girl
1235,2004,Hawaii,Emma,Isabella,Emily,Kayla,Chloe,girl
1236,2004,Idaho,Emma,Emily,Alexis,Abigail,Hannah,girl
1237,2004,Illinois,Emily,Emma,Olivia,Abigail,Madison,girl
1238,2004,Indiana,Emma,Madison,Abigail,Olivia,Emily,girl
1239,2004,Iowa,Emma,Madison,Grace,Olivia,Abigail,girl
1240,2004,Kansas,Emma,Emily,Madison,Abigail,Grace,girl
1241,2004,Kentucky,Madison,Emily,Hannah,Emma,Abigail,girl
1242,2004,Louisiana,Madison,Emma,Emily,Hannah,Alexis,girl
1243,2004,Maine,Emma,Emily,Madison,Hannah,Olivia,girl
1244,2004,Maryland,Madison,Emily,Emma,Kayla,Hannah,girl
1245,2004,Massachusetts,Emily,Emma,Olivia,Isabella,Abigail,girl
1246,2004,Michigan,Emma,Madison,Emily,Olivia,Hannah,girl
1247,2004,Minnesota,Emma,Grace,Olivia,Emily,Abigail,girl
1248,2004,Mississippi,Madison,Emily,Hannah,Anna,Emma,girl
1249,2004,Missouri,Emma,Madison,Emily,Abigail,Olivia,girl
1250,2004,Montana,Madison,Emma,Grace,Hannah,Emily,girl
1251,2004,Nebraska,Emma,Emily,Madison,Grace,Hannah,girl
1252,2004,Nevada,Ashley,Emily,Madison,Isabella,Emma,girl
1253,2004,New Hampshire,Emma,Emily,Abigail,Hannah,Madison,girl
1254,2004,New Jersey,Emily,Olivia,Isabella,Samantha,Ashley,girl
1255,2004,New Mexico,Alyssa,Isabella,Alexis,Emily,Madison,girl
1256,2004,New York,Emily,Emma,Olivia,Isabella,Ashley,girl
1257,2004,North Carolina,Emma,Emily,Madison,Hannah,Sarah,girl
1258,2004,North Dakota,Madison,Emma,Emily,Grace,Olivia,girl
1259,2004,Ohio,Emma,Madison,Emily,Olivia,Hannah,girl
1260,2004,Oklahoma,Madison,Emily,Emma,Alexis,Hannah,girl
1261,2004,Oregon,Emily,Emma,Madison,Grace,Hannah,girl
1262,2004,Pennsylvania,Emily,Emma,Madison,Olivia,Abigail,girl
1263,2004,Rhode Island,Emily,Madison,Emma,Isabella,Olivia,girl
1264,2004,South Carolina,Madison,Emily,Emma,Hannah,Abigail,girl
1265,2004,South Dakota,Madison,Emma,Emily,Olivia,Hannah,girl
1266,2004,Tennessee,Madison,Emma,Emily,Hannah,Abigail,girl
1267,2004,Texas,Emily,Ashley,Madison,Emma,Alyssa,girl
1268,2004,Utah,Emma,Emily,Olivia,Madison,Abigail,girl
1269,2004,Vermont,Emma,Emily,Olivia,Madison,Abigail,girl
1270,2004,Virginia,Emily,Madison,Emma,Hannah,Olivia,girl
1271,2004,Washington,Emma,Emily,Olivia,Isabella,Madison,girl
1272,2004,West Virginia,Madison,Emily,Hannah,Emma,Alexis,girl
1273,2004,Wisconsin,Emma,Olivia,Emily,Abigail,Grace,girl
1274,2004,Wyoming,Madison,Emma,Alexis,Elizabeth,Hannah,girl
1275,2005,Alabama,Madison,Emma,Emily,Anna,Hannah,girl
1276,2005,Alaska,Madison,Emma,Emily,Isabella,Samantha,girl
1277,2005,Arizona,Emily,Mia,Ashley,Isabella,Emma,girl
1278,2005,Arkansas,Emily,Madison,Emma,Hannah,Alexis,girl
1279,2005,California,Emily,Ashley,Samantha,Isabella,Mia,girl
1280,2005,Colorado,Emily,Emma,Isabella,Madison,Abigail,girl
1281,2005,Connecticut,Olivia,Emily,Ava,Emma,Isabella,girl
1282,2005,Delaware,Madison,Emily,Sarah,Emma,Abigail,girl
1283,2005,Dist. of Columbia,Sophia,Olivia,Elizabeth,Kayla,Katherine,girl
1284,2005,Florida,Emily,Isabella,Madison,Emma,Sophia,girl
1285,2005,Georgia,Emily,Madison,Emma,Hannah,Abigail,girl
1286,2005,Hawaii,Emma,Mia,Madison,Kayla,Taylor,girl
1287,2005,Idaho,Emma,Madison,Emily,Hailey,Abigail,girl
1288,2005,Illinois,Emily,Emma,Olivia,Isabella,Abigail,girl
1289,2005,Indiana,Emma,Madison,Emily,Abigail,Olivia,girl
1290,2005,Iowa,Emma,Olivia,Madison,Emily,Ava,girl
1291,2005,Kansas,Emma,Emily,Olivia,Abigail,Madison,girl
1292,2005,Kentucky,Madison,Emily,Emma,Hannah,Abigail,girl
1293,2005,Louisiana,Madison,Emma,Emily,Hannah,Olivia,girl
1294,2005,Maine,Emma,Abigail,Emily,Hannah,Madison,girl
1295,2005,Maryland,Emily,Madison,Emma,Abigail,Kayla,girl
1296,2005,Massachusetts,Emma,Emily,Ava,Olivia,Sophia,girl
1297,2005,Michigan,Emma,Emily,Madison,Olivia,Ava,girl
1298,2005,Minnesota,Ava,Grace,Emma,Ella,Emily,girl
1299,2005,Mississippi,Madison,Emma,Anna,Emily,Hannah,girl
1300,2005,Missouri,Emma,Madison,Emily,Abigail,Olivia,girl
1301,2005,Montana,Emma,Madison,Emily,Olivia,Alexis,girl
1302,2005,Nebraska,Emma,Emily,Madison,Grace,Olivia,girl
1303,2005,Nevada,Emily,Ashley,Samantha,Isabella,Madison,girl
1304,2005,New Hampshire,Emma,Emily,Madison,Olivia,Ava,girl
1305,2005,New Jersey,Emily,Isabella,Ava,Olivia,Samantha,girl
1306,2005,New Mexico,Alyssa,Emily,Madison,Isabella,Destiny,girl
1307,2005,New York,Emily,Isabella,Emma,Olivia,Madison,girl
1308,2005,North Carolina,Emily,Emma,Madison,Hannah,Abigail,girl
1309,2005,North Dakota,Emma,Hannah,Madison,Olivia,Grace,girl
1310,2005,Ohio,Emma,Madison,Olivia,Emily,Ava,girl
1311,2005,Oklahoma,Emma,Madison,Emily,Hannah,Abigail,girl
1312,2005,Oregon,Emma,Emily,Madison,Hannah,Olivia,girl
1313,2005,Pennsylvania,Emily,Emma,Madison,Olivia,Abigail,girl
1314,2005,Rhode Island,Olivia,Ava,Abigail,Emily,Isabella,girl
1315,2005,South Carolina,Emily,Madison,Emma,Hannah,Abigail,girl
1316,2005,South Dakota,Emma,Madison,Olivia,Emily,Hannah,girl
1317,2005,Tennessee,Madison,Emma,Emily,Hannah,Abigail,girl
1318,2005,Texas,Emily,Mia,Madison,Ashley,Emma,girl
1319,2005,Utah,Emma,Emily,Olivia,Abigail,Hannah,girl
1320,2005,Vermont,Emma,Emily,Olivia,Hannah,Madison,girl
1321,2005,Virginia,Emily,Madison,Emma,Hannah,Abigail,girl
1322,2005,Washington,Emma,Emily,Madison,Olivia,Isabella,girl
1323,2005,West Virginia,Madison,Emily,Emma,Hannah,Olivia,girl
1324,2005,Wisconsin,Emma,Olivia,Emily,Ava,Abigail,girl
1325,2005,Wyoming,Madison,Emma,Hailey,Hannah,Olivia,girl
1326,2006,Alabama,Madison,Emma,Anna,Emily,Hannah,girl
1327,2006,Alaska,Emma,Emily,Madison,Isabella,Ava,girl
1328,2006,Arizona,Mia,Emily,Isabella,Ashley,Emma,girl
1329,2006,Arkansas,Madison,Emily,Emma,Hannah,Abigail,girl
1330,2006,California,Emily,Isabella,Ashley,Mia,Samantha,girl
1331,2006,Colorado,Isabella,Emily,Emma,Hannah,Abigail,girl
1332,2006,Connecticut,Isabella,Emily,Ava,Olivia,Emma,girl
1333,2006,Delaware,Madison,Emily,Ava,Emma,Olivia,girl
1334,2006,Dist. of Columbia,Katherine,Elizabeth,Ashley,Ava,Sophia,girl
1335,2006,Florida,Isabella,Emily,Madison,Sophia,Emma,girl
1336,2006,Georgia,Madison,Emily,Emma,Hannah,Ava,girl
1337,2006,Hawaii,Isabella,Emma,Madison,Hailey,Ava,girl
1338,2006,Idaho,Emma,Olivia,Abigail,Hannah,Madison,girl
1339,2006,Illinois,Emily,Isabella,Emma,Olivia,Ava,girl
1340,2006,Indiana,Emma,Ava,Olivia,Madison,Emily,girl
1341,2006,Iowa,Emma,Ava,Olivia,Madison,Hannah,girl
1342,2006,Kansas,Emma,Emily,Abigail,Madison,Ava,girl
1343,2006,Kentucky,Madison,Emma,Emily,Hannah,Abigail,girl
1344,2006,Louisiana,Madison,Emma,Ava,Emily,Hannah,girl
1345,2006,Maine,Emma,Abigail,Emily,Olivia,Madison,girl
1346,2006,Maryland,Madison,Emily,Abigail,Emma,Ava,girl
1347,2006,Massachusetts,Ava,Isabella,Emma,Sophia,Olivia,girl
1348,2006,Michigan,Ava,Emma,Madison,Olivia,Emily,girl
1349,2006,Minnesota,Ava,Grace,Olivia,Emma,Sophia,girl
1350,2006,Mississippi,Madison,Anna,Emma,Hannah,Emily,girl
1351,2006,Missouri,Emma,Madison,Ava,Abigail,Emily,girl
1352,2006,Montana,Emma,Abigail,Madison,Hannah,Grace,girl
1353,2006,Nebraska,Emma,Ava,Madison,Addison,Emily,girl
1354,2006,Nevada,Emily,Isabella,Emma,Mia,Ashley,girl
1355,2006,New Hampshire,Emma,Olivia,Emily,Ava,Madison,girl
1356,2006,New Jersey,Isabella,Ava,Emily,Sophia,Olivia,girl
1357,2006,New Mexico,Isabella,Alyssa,Emily,Mia,Madison,girl
1358,2006,New York,Emily,Isabella,Ava,Olivia,Madison,girl
1359,2006,North Carolina,Madison,Emily,Emma,Abigail,Hannah,girl
1360,2006,North Dakota,Ava,Emma,Grace,Madison,Alexis,girl
1361,2006,Ohio,Emma,Madison,Ava,Olivia,Emily,girl
1362,2006,Oklahoma,Emma,Madison,Emily,Abigail,Hannah,girl
1363,2006,Oregon,Emma,Emily,Olivia,Madison,Isabella,girl
1364,2006,Pennsylvania,Ava,Emily,Emma,Madison,Olivia,girl
1365,2006,Rhode Island,Isabella,Olivia,Ava,Madison,Emily,girl
1366,2006,South Carolina,Madison,Emma,Emily,Hannah,Olivia,girl
1367,2006,South Dakota,Emma,Hannah,Ava,Grace,Madison,girl
1368,2006,Tennessee,Madison,Emma,Emily,Hannah,Abigail,girl
1369,2006,Texas,Emily,Mia,Ashley,Isabella,Madison,girl
1370,2006,Utah,Emma,Abigail,Olivia,Elizabeth,Emily,girl
1371,2006,Vermont,Emma,Ava,Abigail,Grace,Olivia,girl
1372,2006,Virginia,Madison,Emily,Abigail,Emma,Hannah,girl
1373,2006,Washington,Emma,Emily,Ava,Olivia,Isabella,girl
1374,2006,West Virginia,Madison,Hannah,Emily,Abigail,Alexis,girl
1375,2006,Wisconsin,Ava,Emma,Emily,Olivia,Isabella,girl
1376,2006,Wyoming,Emily,Emma,Madison,Alexis,Hannah,girl
1377,2007,Alabama,Emma,Madison,Emily,Hannah,Elizabeth,girl
1378,2007,Alaska,Isabella,Emily,Madison,Ava,Abigail,girl
1379,2007,Arizona,Isabella,Emily,Mia,Sophia,Ashley,girl
1380,2007,Arkansas,Madison,Emma,Emily,Addison,Olivia,girl
1381,2007,California,Emily,Isabella,Sophia,Ashley,Samantha,girl
1382,2007,Colorado,Isabella,Sophia,Emma,Olivia,Abigail,girl
1383,2007,Connecticut,Isabella,Olivia,Ava,Emma,Emily,girl
1384,2007,Delaware,Ava,Sophia,Emily,Madison,Abigail,girl
1385,2007,Dist. of Columbia,Ashley,Sophia,Katherine,Elizabeth,Caroline,girl
1386,2007,Florida,Isabella,Sophia,Emily,Madison,Ava,girl
1387,2007,Georgia,Madison,Emily,Emma,Ava,Abigail,girl
1388,2007,Hawaii,Sophia,Ava,Chloe,Isabella,Emma,girl
1389,2007,Idaho,Emma,Olivia,Emily,Hannah,Abigail,girl
1390,2007,Illinois,Isabella,Olivia,Emily,Sophia,Ava,girl
1391,2007,Indiana,Emma,Ava,Olivia,Madison,Addison,girl
1392,2007,Iowa,Ava,Emma,Addison,Olivia,Grace,girl
1393,2007,Kansas,Addison,Emma,Ava,Madison,Emily,girl
1394,2007,Kentucky,Madison,Emma,Emily,Addison,Olivia,girl
1395,2007,Louisiana,Madison,Ava,Emma,Isabella,Olivia,girl
1396,2007,Maine,Madison,Abigail,Olivia,Emma,Ava,girl
1397,2007,Maryland,Madison,Emily,Ava,Olivia,Abigail,girl
1398,2007,Massachusetts,Ava,Isabella,Sophia,Olivia,Emma,girl
1399,2007,Michigan,Ava,Madison,Emma,Olivia,Isabella,girl
1400,2007,Minnesota,Ava,Olivia,Emma,Sophia,Addison,girl
1401,2007,Mississippi,Madison,Emma,Chloe,Hannah,Addison,girl
1402,2007,Missouri,Emma,Madison,Ava,Addison,Olivia,girl
1403,2007,Montana,Madison,Emma,Olivia,Addison,Emily,girl
1404,2007,Nebraska,Addison,Emma,Ava,Elizabeth,Emily,girl
1405,2007,Nevada,Emily,Sophia,Isabella,Madison,Ava,girl
1406,2007,New Hampshire,Olivia,Abigail,Ava,Emma,Madison,girl
1407,2007,New Jersey,Isabella,Emily,Sophia,Ava,Olivia,girl
1408,2007,New Mexico,Isabella,Sophia,Nevaeh,Alyssa,Emily,girl
1409,2007,New York,Isabella,Sophia,Emily,Olivia,Ava,girl
1410,2007,North Carolina,Madison,Emma,Emily,Ava,Abigail,girl
1411,2007,North Dakota,Emma,Olivia,Ava,Madison,Abigail,girl
1412,2007,Ohio,Ava,Madison,Olivia,Emma,Isabella,girl
1413,2007,Oklahoma,Emma,Madison,Emily,Addison,Hannah,girl
1414,2007,Oregon,Emma,Sophia,Isabella,Emily,Olivia,girl
1415,2007,Pennsylvania,Ava,Olivia,Emma,Madison,Isabella,girl
1416,2007,Rhode Island,Sophia,Ava,Isabella,Madison,Olivia,girl
1417,2007,South Carolina,Madison,Emma,Emily,Abigail,Ava,girl
1418,2007,South Dakota,Ava,Emma,Olivia,Addison,Hannah,girl
1419,2007,Tennessee,Emma,Madison,Emily,Addison,Abigail,girl
1420,2007,Texas,Emily,Mia,Isabella,Madison,Abigail,girl
1421,2007,Utah,Olivia,Emma,Abigail,Elizabeth,Ava,girl
1422,2007,Vermont,Ava,Emma,Abigail,Olivia,Ella,girl
1423,2007,Virginia,Madison,Abigail,Emily,Olivia,Emma,girl
1424,2007,Washington,Olivia,Emily,Emma,Isabella,Sophia,girl
1425,2007,West Virginia,Madison,Emma,Emily,Abigail,Hannah,girl
1426,2007,Wisconsin,Ava,Emma,Olivia,Sophia,Addison,girl
1427,2007,Wyoming,Madison,Emma,Abigail,Taylor,Alexis,girl
1428,2008,Alabama,Emma,Madison,Addison,Ava,Emily,girl
1429,2008,Alaska,Emma,Abigail,Ava,Sophia,Emily,girl
1430,2008,Arizona,Isabella,Sophia,Emma,Emily,Mia,girl
1431,2008,Arkansas,Emma,Madison,Emily,Addison,Olivia,girl
1432,2008,California,Isabella,Emily,Sophia,Samantha,Ashley,girl
1433,2008,Colorado,Isabella,Olivia,Sophia,Emma,Abigail,girl
1434,2008,Connecticut,Isabella,Olivia,Ava,Emily,Emma,girl
1435,2008,Delaware,Ava,Olivia,Madison,Abigail,Emma,girl
1436,2008,Dist. of Columbia,Ashley,Chloe,Sophia,Katherine,Emma,girl
1437,2008,Florida,Isabella,Sophia,Emily,Emma,Madison,girl
1438,2008,Georgia,Madison,Emma,Emily,Ava,Olivia,girl
1439,2008,Hawaii,Chloe,Isabella,Madison,Sophia,Mia,girl
1440,2008,Idaho,Olivia,Emma,Madison,Abigail,Emily,girl
1441,2008,Illinois,Olivia,Emily,Isabella,Emma,Sophia,girl
1442,2008,Indiana,Emma,Olivia,Ava,Madison,Addison,girl
1443,2008,Iowa,Emma,Ava,Olivia,Addison,Abigail,girl
1444,2008,Kansas,Emma,Olivia,Emily,Madison,Ava,girl
1445,2008,Kentucky,Madison,Emma,Olivia,Abigail,Addison,girl
1446,2008,Louisiana,Madison,Ava,Emma,Olivia,Isabella,girl
1447,2008,Maine,Emma,Olivia,Madison,Ava,Abigail,girl
1448,2008,Maryland,Madison,Emily,Emma,Olivia,Ava,girl
1449,2008,Massachusetts,Ava,Isabella,Olivia,Emma,Sophia,girl
1450,2008,Michigan,Olivia,Ava,Emma,Madison,Sophia,girl
1451,2008,Minnesota,Ava,Olivia,Emma,Sophia,Grace,girl
1452,2008,Mississippi,Madison,Emma,Ava,Addison,Anna,girl
1453,2008,Missouri,Emma,Ava,Madison,Olivia,Chloe,girl
1454,2008,Montana,Madison,Olivia,Emma,Isabella,Chloe,girl
1455,2008,Nebraska,Ava,Addison,Emma,Olivia,Sophia,girl
1456,2008,Nevada,Emily,Isabella,Sophia,Olivia,Madison,girl
1457,2008,New Hampshire,Emma,Olivia,Ava,Madison,Abigail,girl
1458,2008,New Jersey,Isabella,Ava,Sophia,Olivia,Emily,girl
1459,2008,New Mexico,Isabella,Alyssa,Nevaeh,Madison,Olivia,girl
1460,2008,New York,Isabella,Olivia,Sophia,Madison,Ava,girl
1461,2008,North Carolina,Emma,Madison,Ava,Emily,Abigail,girl
1462,2008,North Dakota,Ava,Emma,Sophia,Addison,Ella,girl
1463,2008,Ohio,Ava,Olivia,Emma,Madison,Isabella,girl
1464,2008,Oklahoma,Emma,Madison,Addison,Emily,Ava,girl
1465,2008,Oregon,Olivia,Emma,Ava,Isabella,Emily,girl
1466,2008,Pennsylvania,Ava,Olivia,Emma,Madison,Isabella,girl
1467,2008,Rhode Island,Ava,Emma,Olivia,Sophia,Isabella,girl
1468,2008,South Carolina,Madison,Emma,Emily,Abigail,Olivia,girl
1469,2008,South Dakota,Emma,Olivia,Addison,Grace,Ava,girl
1470,2008,Tennessee,Madison,Emma,Abigail,Emily,Addison,girl
1471,2008,Texas,Emily,Isabella,Abigail,Emma,Madison,girl
1472,2008,Utah,Olivia,Emma,Abigail,Lily,Elizabeth,girl
1473,2008,Vermont,Emma,Elizabeth,Ava,Olivia,Emily,girl
1474,2008,Virginia,Emma,Abigail,Madison,Emily,Olivia,girl
1475,2008,Washington,Olivia,Emma,Ava,Sophia,Emily,girl
1476,2008,West Virginia,Emma,Madison,Abigail,Olivia,Emily,girl
1477,2008,Wisconsin,Ava,Olivia,Emma,Sophia,Isabella,girl
1478,2008,Wyoming,Madison,Emma,Taylor,Abigail,Emily,girl
1479,2009,Alabama,Emma,Madison,Isabella,Ava,Anna,girl
1480,2009,Alaska,Isabella,Sophia,Olivia,Abigail,Ava,girl
1481,2009,Arizona,Isabella,Sophia,Emma,Mia,Emily,girl
1482,2009,Arkansas,Emma,Madison,Addison,Isabella,Ava,girl
1483,2009,California,Isabella,Sophia,Emily,Mia,Samantha,girl
1484,2009,Colorado,Isabella,Olivia,Sophia,Abigail,Emma,girl
1485,2009,Connecticut,Isabella,Olivia,Sophia,Ava,Emma,girl
1486,2009,Delaware,Isabella,Sophia,Olivia,Abigail,Ava,girl
1487,2009,Dist. of Columbia,Sophia,Allison,Abigail,Ashley,Elizabeth,girl
1488,2009,Florida,Isabella,Sophia,Emma,Olivia,Madison,girl
1489,2009,Georgia,Madison,Isabella,Emma,Olivia,Abigail,girl
1490,2009,Hawaii,Isabella,Sophia,Mia,Ava,Chloe,girl
1491,2009,Idaho,Olivia,Emma,Isabella,Sophia,Addison,girl
