,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Gender
80,1981,New Hampshire,Jennifer,Jessica,Sarah,Melissa,Amanda,girl
81,1981,New Jersey,Jennifer,Jessica,Melissa,Nicole,Lauren,girl
82,1981,New Mexico,Jennifer,Jessica,Amanda,Melissa,Crystal,girl
83,1981,New York,Jennifer,Jessica,Melissa,Nicole,Sarah,girl
84,1981,North Carolina,Jennifer,Amanda,Jessica,Crystal,Melissa,girl
85,1981,North Dakota,Jessica,Jennifer,Amanda,Sarah,Melissa,girl
86,1981,Ohio,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
87,1981,Oklahoma,Jennifer,Amanda,Sarah,Amber,Jessica,girl
88,1981,Oregon,Jennifer,Sarah,Jessica,Melissa,Amanda,girl
89,1981,Pennsylvania,Jennifer,Jessica,Amanda,Melissa,Nicole,girl
90,1981,Rhode Island,Jessica,Jennifer,Melissa,Nicole,Sarah,girl
91,1981,South Carolina,Jennifer,Amanda,Jessica,Crystal,Kimberly,girl
92,1981,South Dakota,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
93,1981,Tennessee,Amanda,Jennifer,Jessica,April,Tiffany,girl
94,1981,Texas,Jennifer,Jessica,Amanda,Melissa,Stephanie,girl
95,1981,Utah,Jennifer,Amanda,Jessica,Melissa,Amy,girl
96,1981,Vermont,Jessica,Jennifer,Sarah,Amanda,Heather,girl
97,1981,Virginia,Jennifer,Jessica,Amanda,Sarah,Melissa,girl
98,1981,Washington,Jennifer,Jessica,Sarah,Amanda,Melissa,girl
99,1981,West Virginia,Amanda,Jessica,Jennifer,Melissa,Sarah,girl
100,1981,Wisconsin,Jennifer,Jessica,Sarah,Amanda,Nicole,girl
101,1981,Wyoming,Jennifer,Amanda,Jessica,Sarah,Amber,girl
102,1982,Alabama,Jennifer,Jessica,Amanda,Tiffany,Crystal,girl
103,1982,Alaska,Jennifer,Jessica,Sarah,Amanda,Crystal,girl
104,1982,Arizona,Jennifer,Jessica,Sarah,Stephanie,Amanda,girl
105,1982,Arkansas,Jennifer,Amanda,Jessica,Ashley,Sarah,girl
106,1982,California,Jennifer,Jessica,Sarah,Melissa,Michelle,girl
107,1982,Colorado,Jennifer,Jessica,Sarah,Amanda,Nicole,girl
108,1982,Connecticut,Jennifer,Jessica,Melissa,Sarah,Nicole,girl
109,1982,Delaware,Jennifer,Jessica,Amanda,Lauren,Stephanie,girl
110,1982,Dist. of Columbia,Jennifer,Tiffany,Jessica,Nicole,Elizabeth,girl
111,1982,Florida,Jennifer,Jessica,Amanda,Melissa,Nicole,girl
112,1982,Georgia,Jennifer,Jessica,Amanda,Tiffany,Ashley,girl
